Brand Name,Roast Level,Coffee Type,Processing Method,Fragrance,Flavor,Body,Ground Type,Number of Bags,Net Weight,Price,Contact ,Class Name
May Myo Fresh,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,20.0,500g,9000,095157860/09259602564,Roasted Arabica Premix 3 in 1 Coffee(Classic Version)
May Myo Fresh,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,10.0,260g,5300,095157860/09259602564,Roasted Arabica Premix 3 in 2 Coffee(Classic Version)
May Myo Fresh,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,5.0,120g,2650,095157860/09259602564,Roasted Arabica Premix 3 in 3 Coffee(Classic Version)
May Myo Fresh,Medium,Arabica,Natural Dry,Sweet,Normal,Medium,Fine Ground,10.0,260g,9500,095157860/09259602564,MAY MYO FRESH 3IN1 COFFEE LOW SUGAR
May Myo Fresh,Medium,Arabica,Natural Dry,Sweet,Normal,Medium,Fine Ground,1.0,100g,3500,095157860/09259602564,Nature Blend Coffee
May Myo Fresh,Dark,Arabica,Washed,Smoky,Very Bitter,Heavy,Fine Ground,20.0,500g,9500,095157860/09259602564,Local Arabica Premix 3 in 1 Coffee(Brown Version)
May Myo Fresh,Dark,Arabica,Washed,Smoky,Very Bitter,Heavy,Fine Ground,10.0,260g,5000,095157860/09259602564,Local Arabica Premix 3 in 2 Coffee(Brown Version)
May Myo Fresh,Dark,Arabica,Washed,Smoky,Very Bitter,Heavy,Fine Ground,5.0,120g,2700,095157860/09259602564,Local Arabica Premix 3 in 3 Coffee(Brown Version)
May Myo Fresh,Medium,Arabica,Honey,Sweet,Normal,Medium,Fine Ground,1.0,100g,3500,095157860/09259602564,Royal Coffee
Shin Thant,Medium,Arabica,Washed,Sweet,Normal,Medium,Coarse Ground,1.0,200g,8000,09 797506452,May Myo Pure Coffee
Shin Thant,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,1.0,150g,7000,09 797506452,3 in 1 Coffee
Spring,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,1.0,200g,6500,09 955281124,Spring Arabica Coffee
Spring,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,1.0,200g,7500,09 955281124,Spring 3 in 1 Coffee
New,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,12.0,600g,6000,09 455999880,2+1 Coffee
New,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,5.0,250g,2500,09 455999880,2+1 Coffee
New,Medium Dark,Arabica,Natural Dry,Spicy,Bitter,Full,Coarse Ground,1.0,500g,18000,09 455999880,Pure Coffee
New,Medium Dark,Arabica,Natural Dry,Spicy,Bitter,Full,Coarse Ground,1.0,250g,9500,09 455999880,Pure Coffee
Forest,Dark,Arabica,Natural Dry,Smoky,Very Bitter,Heavy,Coarse Ground,1.0,250g,10000,09 965441513,Pure Coffee Black
Forest,Medium Dark,Arabica,Natural Dry,Spicy,Bitter,Full,Coarse Ground,1.0,250g,10000,09 965441513,Pure Coffee Mid
Forest,Medium,Arabica,Natural Dry,Sweet,Normal,Medium,Fine Ground,1.0,250g,10000,09 965441513,Pure Coffee Mild
Delight,Dark,Arabica,Washed,Smoky,Very Bitter,Heavy,Coarse Ground,10.0,230g,4500,09 455197999,Pure Fine Coffee
Delight,Medium,Arabica,Washed,Spicy,Normal,Medium,Fine Ground,10.0,230g,4000,09 455197999,Instant Mixed Coffee
Delight,Medium,Arabica,Washed,Spicy,Normal,Medium,Fine Ground,10.0,230g,4000,09 455197999,3 in 1 Mixed Coffee
Coffee Win,Medium,Arabica,Washed,Spicy,Normal,Medium,Whole Bean,1.0,200g,6500,09 765199714,Premium Coffee Bean
Coffee Win,Medium,Arabica,Washed,Spicy,Normal,Medium,Whole Bean,1.0,450g,13000,09 765199714,Premium Coffee Bean
Coffee Win,Medium,Arabica,Washed,Spicy,Normal,Medium,Fine Ground,1.0,200g,5500,09 765199714,Maymyo Brewed Coffee
Coffee Win,Medium,Arabica,Washed,Spicy,Normal,Medium,Fine Ground,1.0,200g,5000,09 765199714,Sate Tine Kya Coffee
Coffee Win,Medium,Arabica,Washed,Spicy,Normal,Medium,Fine Ground,1.0,200g,5000,09 765199714,Yoe Yar Coffee
Coffee Win,Dark,Arabica,Washed,Smoky,Very Bitter,Heavy,Fine Ground,1.0,200g,6000,09 765199714,Chit Kaung Coffee
Coffee Win,Dark,Arabica,Washed,Smoky,Very Bitter,Heavy,Fine Ground,10.0,200g,6000,09 765199714,Drip Coffee Bag(Black Bag)
Mount Cherry,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,10.0,200g,4500,09 423002395,Cho Seint
Mount Cherry,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,10.0,200g,4500,09 423002395,Khar Seint
Mount Cherry,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,10.0,200g,4500,09 423002395,Cho Khar
Mount Cherry,Dark,Arabica,Washed,Smoky,Very Bitter,Heavy,Fine Ground,1.0,200g,5000,09  423002395,Fine Ground Bitter
Mount Cherry,Medium Dark,Arabica,Washed,Spicy,Bitter,Full,Fine Ground,1.0,200g,5000,09  423002395,Fine Ground
Mount Cherry,Medium Dark,Arabica,Washed,Spicy,Bitter,Full,Fine Ground,1.0,500g,9500,09  423002395,Fine Ground
Mount Cherry,Medium Dark,Arabica,Washed,Spicy,Bitter,Full,Coarse Ground,1.0,200g,4500,09  423002395,Coarse Ground
May Myo ,Medium,Arabica,Washed,Sweet,Normal,Medium,Coarse Ground,5.0,100g,5000,09 256 187 372,Drip Coffee 
May Myo ,Medium,Arabica,Washed,Sweet,Normal,Medium,Coarse Ground,5.0,100g,5000,09 256 187 372,Pure Coffee
Smart May Myo Coffee,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,1.0,200g,4000,09 697 916 589,Smart May Myo Coffee
Smart May Myo Coffee,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,1.0,500g,8500,09  697 916 589,Smart May Myo Coffee
Smart May Myo Coffee,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,1.0,1kg,16000,09  697 916 589,Smart May Myo Coffee
Nan Myaing,Dark,Arabica,Natural Dry,Sweet,Very Bitter,Heavy,Fine Ground,30.0,600g,8600,085 2321371,2 in 1 Black Coffee
Nan Myaing,Medium,Arabica,Natural Dry,Smoky,Normal,Medium,Fine Ground,30.0,600g,9300,085 2321371,2 Plus 1 Coffee Mix
Nan Myaing,Dark,Arabica,Natural Dry,Sweet,Very Bitter,Heavy,Fine Ground,1.0,200g,7100,085 2321371,Pure Coffee
Pop Pop,Medium,Arabica,Washed,Smoky,Normal,Medium,Fine Ground,30.0,600g,10200,09 677 943 590,2 Plus 1 Arabica Coffee Mix
Pop Pop,Medium,Arabica,Washed,Sweet,Normal,Medium,Coarse Ground,1.0,200g,7200,09 677 943 590,Mount Victoria Organic Coffee
Mountainer Coffee,Light,Arabica,Honey,Sweet,Very Sweet,Lighter,Fine Ground,1.0,250g,25000,09 668844066,Mountainer Coffee Catimor
Mountainer Coffee,Light,Arabica,Honey,Fruity,Very Sweet,Lighter,Fine Ground,1.0,500g,40000,09 668844066,Mountainer Coffee Catimor
Mountainer Coffee,Light,Arabica,Honey,Fruity,Very Sweet,Lighter,Fine Ground,1.0,500g,52000,09 668844066,Mountainer Coffee Natural Sun Dried Catmior
Once More Coffee,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,1.0,100g,3600,09 689 693 455,Once More Pure Coffee
Once More Coffee,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,1.0,250g,7000,09 689 693 455,Once More Pure Coffee
Once More Coffee,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,1.0,500g,14000,09 689 693 455,Once More Pure Coffee
Ever Win,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,1.0,250g,4500,09 442032001,3 in 1 Natural Coffee
Ever Win,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,1.0,250g,5000,09 442032001,3 in 2 Natural Coffee
Ever Win,Light,Arabica,Washed,Fruity,Very Sweet,Lighter,Fine Ground,1.0,250g,4000,09 442032001,2 Plus 1
Ever Win,Light,Arabica,Washed,Fruity,Very Sweet,Lighter,Fine Ground,1.0,250g,4000,09 442032001,2 Plus 2
Ever Win,Medium,Arabica,Washed,Sweet,Normal,Medium,Coarse Ground,10.0,250g,4500,09 442032001,Drip Coffee
Ever Win,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,1.0,100g,2800,09 442032001,Ever Win Cup
Ever Win,Medium Dark,Arabica/Robutsa,Washed,Spicy,Bitter,Full,Coarse Ground,1.0,200g,5000,09 442032001,Arabica and Robusta Blend Pure Coffee
Ever Win,Medium Dark,Arabica/Robutsa,Washed,Spicy,Bitter,Full,Coarse Ground,1.0,500g,9500,09 442032001,Arabica and Robusta Blend Pure Coffee
Ever Win,Dark,Arabica,Washed,Smoky,Bitter,Heavy,Coarse Ground,1.0,200g,4000,09 442032001,Pure Coffee
Ever Win,Dark,Arabica,Washed,Smoky,Very Bitter,Heavy,Coarse Ground,1.0,500g,7500,09 442032001,Pure Coffee
Seint,Medium,Arabica,Washed,Sweet,Very Bitter,Medium,Fine Ground,10.0,200g,3200,09 764764680,Khar Seint Seint
Seint,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,5.0,100g,1600,09 764764680,Khar Seint Seint
Seint,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,20.0,400g,6000,09 764764680,Khar Seint Seint
Smile,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,10.0,200g,4500,09 2046500,Khar Seint
Smile,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,10.0,200g,4500,09 2046500,Cho Seint
Smile,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,10.0,200g,4000,09 2046500,Black Coffee
Smile,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,1.0,200g,4500,09 2046500,Pure Coffee
Academia Coffee,Medium,Arabica,Natural Dry,Sweet,Normal,Medium,Fine Ground,1.0,200g,6500,09 400151010,Academia Ground Coffee
Academia Coffee,Medium,Arabica,Natural Dry,Sweet,Normal,Medium,Fine Ground,1.0,500g,15500,09 400151010,Academia Ground Coffee
Academia Coffee,Medium,Arabica,Natural Dry,Sweet,Normal,Medium,Fine Ground,1.0,1kg,31000,09 400151010,Academia Ground Coffee
Academia Coffee,Medium,Arabica,Natural Dry,Sweet,Normal,Medium,Whole Bean,1.0,1kg,32000,09 400151010,Academia Roasted Bean
Sawbwa Coffee,Dark,Arabica,Honey,Smoky,Very Bitter,Heavy,Coarse Ground,5.0,55g,9200,09 261906175,Black Drip Bag
Sawbwa Coffee,Light,Arabica,Honey,Fruity,Very Sweet,Lighter,Fine Ground,5.0,55g,9800,09 261906175,Gold Drip Bag
Sawbwa Coffee,Dark,Arabica,Honey,Smoky,Very Bitter,Heavy,Coarse Ground,1.0,100g,6500,09 261906175,Espresso Blend
Sawbwa Coffee,Dark,Arabica,Honey,Smoky,Very Bitter,Heavy,Coarse Ground,1.0,200g,11000,09 261906175,Espresso Blend
Sawbwa Coffee,Dark,Arabica,Honey,Smoky,Very Bitter,Heavy,Coarse Ground,1.0,500g,35000,09 261906175,Espresso Blend
Sawbwa Coffee,Dark,Arabica,Honey,Smoky,Very Bitter,Heavy,Coarse Ground,1.0,1kg,45000,09 261906175,Espresso Blend
Sawbwa Coffee,Dark,Arabica,Honey,Smoky,Very Bitter,Heavy,Fine Ground,1.0,100g,7200,09 261906175,Drum
Sawbwa Coffee,Dark,Arabica,Honey,Smoky,Very Bitter,Heavy,Fine Ground,1.0,200g,13000,09 261906175,Drum
Sawbwa Coffee,Dark,Arabica,Honey,Smoky,Very Bitter,Heavy,Fine Ground,1.0,500g,32000,09 261906175,Drum
Sawbwa Coffee,Dark,Arabica,Honey,Smoky,Very Bitter,Heavy,Fine Ground,1.0,1kg,60000,09 261906175,Drum
Sawbwa Coffee,Dark,Arabica,Honey,Smoky,Very Bitter,Heavy,Fine Ground,1.0,100g,8500,09 261906175,Harp
Sawbwa Coffee,Dark,Arabica,Honey,Smoky,Very Bitter,Heavy,Fine Ground,1.0,200g,15000,09 261906175,Harp
Sawbwa Coffee,Dark,Arabica,Honey,Smoky,Very Bitter,Heavy,Fine Ground,1.0,500g,35000,09 261906175,Harp
Sawbwa Coffee,Dark,Arabica,Honey,Smoky,Very Bitter,Heavy,Fine Ground,1.0,1kg,68000,09 261906175,Harp
Sawbwa Coffee,Medium Light,Arabica,Honey,Floral,Sweet,Light,Fine Ground,1.0,100g,8500,09 261906175,Artisan Selection
Sawbwa Coffee,Medium Light,Arabica,Honey,Floral,Sweet,Light,Fine Ground,1.0,200g,15000,09 261906175,Artisan Selection
Sawbwa Coffee,Medium Light,Arabica,Honey,Floral,Sweet,Light,Fine Ground,1.0,500g,35000,09 261906175,Artisan Selection
Sawbwa Coffee,Medium Light,Arabica,Honey,Floral,Sweet,Light,Fine Ground,1.0,1kg,65000,09 261906175,Artisan Selection
Sawbwa Coffee,Light,Arabica,Honey,Fruity,Very Sweet,Lighter,Fine Ground,1.0,100g,15000,09 261906175,Bant-Sawk
Sawbwa Coffee,Light,Arabica,Honey,Fruity,Very Sweet,Lighter,Fine Ground,1.0,200g,20000,09 261906175,Bant-Sawk
Sawbwa Coffee,Light,Arabica,Honey,Fruity,Very Sweet,Lighter,Fine Ground,1.0,500g,50000,09 261906175,Bant-Sawk
Sawbwa Coffee,Light,Arabica,Honey,Fruity,Very Sweet,Lighter,Fine Ground,1.0,1kg,90000,09 261906175,Bant-Sawk
Sawbwa Coffee,Medium,Arabica,Honey,Sweet,Normal,Medium,Fine Ground,1.0,200g,8500,09 261906175,Morning Blend
Sawbwa Coffee,Medium,Arabica,Honey,Sweet,Normal,Medium,Fine Ground,1.0,500g,17500,09 261906175,Morning Blend
Sawbwa Coffee,Medium,Arabica,Honey,Sweet,Normal,Medium,Fine Ground,1.0,1kg,35000,09 261906175,Morning Blend
Sawbwa Coffee,Dark,Arabica,Honey,Smoky,Very Bitter,Heavy,Coarse Ground,10.0,55g,17000,09 261906175,Monsoon Capsule Coffee
Sawbwa Coffee,Medium,Arabica,Honey,Sweet,Normal,Medium,Coarse Ground,10.0,55g,18000,09 261906175,Myanmar Morning Capsule Coffee
Htarwaya Coffee,Medium,Arabica,Washed,Sweet,Normal,Medium,Fine Ground,20.0,200g,8000,09 251 523 831,Htarwaya Coffee(Fine Powder)
Htarwaya Coffee,Medium,Arabica,Washed,Sweet,Normal,Medium,Coarse Ground,20.0,200g,8000,10 251 523 831,Htarwaya Coffee(Coarse Powder)
Htarwaya Coffee,Medium,Arabica,Washed,Sweet,Normal,Medium,Whole Bean,1.0,200g,8500,11 251 523 831,Htarwaya Coffee(Bean)
Pan Taw Win,Light,Arabica,Honey,Fruity,Very Sweet,Lighter,Fine Ground,1.0,200g,7000,085 21742,Pan Taw Win Light(Fine)
Pan Taw Win,Light,Arabica,Honey,Fruity,Very Sweet,Lighter,Fine Ground,1.0,500g,17500,085 21742,Pan Taw Win Light(Fine)
Pan Taw Win,Light,Arabica,Honey,Fruity,Very Sweet,Lighter,Fine Ground,1.0,1kg,30000,085 21742,Pan Taw Win Light(Fine)
Pan Taw Win,Medium Light,Arabica,Honey,Floral,Sweet,Light,Fine Ground,1.0,200g,7000,085 21742,Pan Taw Win Medium Light(Fine)
Pan Taw Win,Medium Light,Arabica,Honey,Floral,Sweet,Light,Fine Ground,1.0,500g,17500,085 21742,Pan Taw Win Medium Light(Fine)
Pan Taw Win,Medium Light,Arabica,Honey,Floral,Sweet,Light,Fine Ground,1.0,1kg,30000,085 21742,Pan Taw Win Medium Light(Fine)
Pan Taw Win,Medium,Arabica,Honey,Sweet,Normal,Medium,Fine Ground,1.0,200g,7000,085 21742,Pan Taw Win Medium (Fine)
Pan Taw Win,Medium,Arabica,Honey,Sweet,Normal,Medium,Fine Ground,1.0,500g,17500,085 21742,Pan Taw Win Medium (Fine)
Pan Taw Win,Medium,Arabica,Honey,Sweet,Normal,Medium,Fine Ground,1.0,1kg,30000,085 21742,Pan Taw Win Medium (Fine)
Pan Taw Win,Medium Dark,Arabica,Honey,Spicy,Bitter,Full,Fine Ground,1.0,200g,7000,085 21742,Pan Taw Win Medium Dark (Fine)
Pan Taw Win,Medium Dark,Arabica,Honey,Spicy,Bitter,Full,Fine Ground,1.0,500g,17500,085 21742,Pan Taw Win Medium Dark (Fine)
Pan Taw Win,Medium Dark,Arabica,Honey,Spicy,Bitter,Full,Fine Ground,1.0,1kg,30000,085 21742,Pan Taw Win Medium Dark(Fine)
Pan Taw Win,Dark,Arabica,Honey,Smoky,Very Bitter,Heavy,Fine Ground,1.0,200g,7000,085 21742,Pan Taw Win Dark(Fine)
Pan Taw Win,Dark,Arabica,Honey,Smoky,Very Bitter,Heavy,Fine Ground,1.0,500g,17500,085 21742,Pan Taw Win Dark(Fine)
Pan Taw Win,Dark,Arabica,Honey,Smoky,Very Bitter,Heavy,Fine Ground,1.0,1kg,30000,085 21742,Pan Taw Win Dark(Fine)
Pan Taw Win,Light,Arabica,Honey,Fruity,Very Sweet,Lighter,Coarse Ground,1.0,200g,7000,085 21742,Pan Taw Win Light(Coarse)
Pan Taw Win,Light,Arabica,Honey,Fruity,Very Sweet,Lighter,Coarse Ground,1.0,500g,17500,085 21742,Pan Taw Win Light(Coarse)
Pan Taw Win,Light,Arabica,Honey,Fruity,Very Sweet,Lighter,Coarse Ground,1.0,1kg,30000,085 21742,Pan Taw Win Light(Coarse)
Pan Taw Win,Medium Light,Arabica,Honey,Floral,Sweet,Light,Coarse Ground,1.0,200g,7000,085 21742,Pan Taw Win Medium Light(Coarse)
Pan Taw Win,Medium Light,Arabica,Honey,Floral,Sweet,Light,Coarse Ground,1.0,500g,17500,085 21742,Pan Taw Win Medium Light(Coarse)
Pan Taw Win,Medium Light,Arabica,Honey,Floral,Sweet,Light,Coarse Ground,1.0,1kg,30000,085 21742,Pan Taw Win Medium Light(Coarse)
